proj_id,proj_show,proj_featured1,proj_featured,proj_title,proj_folder,proj_awards_title,proj_subtitle,proj_bullets,proj_num_images,proj_descr,proj_video_url,proj_category_class,proj_text_thumb
1,,featured,featured,Pluripotent Canopy,pluripotency,Accepted as a full paper at Sigradi 2012,Accepted as a full paper at Sigradi 2012,"Category==Fabrication | Canopy | Vaccum Foaming==Client==Upenn graduate work with Ferda Kolatan==Status==Physical prototyping==Year==2010==Team==With Wenqing Zhang, Upenn, USA ",18,"This project was an endeavor to study different digital processes of rapid prototyping and fabrication. We designed a non-linear canopy system using Bentleys' Generative Component program. Its a double curved surface comprising of many  smart component systems, which were shaped like butterfly wings. Each of the smart components were varied in shape, size and proportion. In order to make a real prototype varied means of fabrication were tested including 3d printing, vacuum foaming , CNC milling etc.",,architecture,prototyping and fabrication
2,,featured,featured,Rococo Motif Design,rococo,Ornamentation by Multi Agent Modeling - accepted as research paper at CAC3 2012,Ornamentation by Multi Agent Modeling - accepted as research paper at CAC3 2012,"Category==Fabrication | Motif Design | Swarm Intelligence==Client==Upenn graduate work under Prof. Roland Snooks==Status==Software application prototype | Ecaade Poster Design Entry==Year==2010==Team==With Ana Untiveros-Ferrel, Upenn, USA",18,"Our goal in this work was to develop a computational framework that generates rococo like complex artifacts in 3 dimensions, and further to test and prototype different outputs from the generated design forms. Swarm colonies were studied to understand multi agent systems and likewise swarm based multi agency behavior was simulated in Java. Simulated output data was exported to Rhino for iso-surfacing as one closed 3 dimensional mesh, which can be cleanly 3d printed.",,architecture,multi agent systems
3,,featured,featured,Ecocity Shanghai Masterplan,ecocity-shanghai,,,Category==Masterplanning | Ecodesign | Smart city==Client==Shanghai urban design bureau==Status==Competition Entry | Published in Masterplanning the Future 2012==Year==2012,15,"The project is a masterplanning proposal for an idea based design competition. The site is at the Suzhou creek of Jingan District at Shanghai, China, This area is currently under rapid development with projects  ranging from mixed use to high end residential towers (100m to 150m). The competition guidelines expected us to provide a futuristic riverfront development proposal utilising sustainable and eco-friendly design strategies. We  proposed a green masterplan which focuses on replenishing lost urban green space owing  to rampant construction and environmental waste. <br><br>

The program of the masterplan comprises of premium office towers, mid-rise studio apartments, high-end residential apartments along with commercial retail streets and shopping malls. Adding to these, our design proposal addressess how the green fabric of the city can be revitalised and improvised. We proposed to construct high-rise buildings with lower built foot print that minimizes ground cover dilapidation. The precious ground area can be used as green gardens. Also, vertically  we allowed scooping pockets of built spaces and replacing with sky gardens, which further enhances the concept of eco green city in the middle of a metropolis like Shanghai. In the 21st century where technology almost commands every aspect of life, we let technology also control the urban fabric and the quality of the built envrionment. Thereby, the proposal for the masterplan, exemplified the use of green algae as a means to reproduce solar energy upon reaction with sunlight. These green algae facade panels were embedded on to the building facade systems. These systems also termed as photo bio-reactors, apart from producing energy also minimizes the net carbon footprint of the neighborhood.",,urban-design,master planning
4,no,featured,featured,Insdag Railway Station Competition,insdag-station,"Winner of the 2nd prize at the INSDAG National Design Competition, India",Ranked 2nd prize,"Category==Transportation | Sustainable Design==Client==Insdag (INSTITUTE OF NATIONAL STEEL DEVLOPMENT AND GROWTH)==Status==Ranked 2nd prize in a competition==Year==2006==Team==With Souporni Paul, JU, India",7,"Project was to design a world class railway station with state of the art facilities in a small town in Rajasthan, India. The station was expected to accomodate two platforms of size 60m each. We studied the hot and dry climate of Rajasthan. We designed the station shed, with an efficient structural system capable to handle violent sandstorms, a frequently occuring natural phenomena in the desert climate of the site. As the design was amid sand dunes, we formulated the concept from the genesis of sand dunes. The sheds' form was driven by aerodynamic factors of the wind. Rain water harvesting methods were deployed to address water scarcity. The rain water harvesting tank also helped in cooling the station.  Efficient ventillation was proposed by the placement of computer controlled vents on the glass roof. Station waiting areas and cafes were placed underground to reduce solar heating  due to the hot and dry weather. <br><br>

First time ever separate transportation of luggages & passengers were provided. Separate conveyor belt & freight elevator system helped this process. Roof vents on the main shed added day lighting & helped transfer hot air out & cool air inside. The floor slabs were supported with regular perforated cellular beams, with fire insulation. These perforations saved material & rendered the structure light. They rested on articulated lattice portal structure spanning 30m over the platforms. The aerodynamic roof rested on 5 equally spaced aluminium coated tree columns. This roof is built with the help of mero space frames which rested upon circular hollow sectioned secondary beams and I-section primary beams.",,urban-design,transportation
5,no,,featured,Legends of the Tents,tent-shelter,Shortlisted as a finalist in the AIMS Legends of the Tent Design Competition,Finalist entry,Category==Modular Hotel | Temporary Shelter | Futuristic vision==Client==Aims Design Competition==Status==Shortlisted as a finalist==Year==2014,21,"This was a design entry for an international design competition. The program requirement was to propose a futuristic modular tent-based hotel design to be situated at the scenic site of Changbai mountains in China. Our design envisioned a modular room unit encased in a beautifully designed attractive tent system. These units would be fabricated in various sizes and configurations, offering differently sized rooms including, studio, one-bedroom, two-bedroom suites.",https://youtu.be/g-hw_f8gvso,architecture,modular
6,no,,,Shenyang 300M Towers,shenyang-tower-complex,,Built (under Atkins),Category==Office | Bank | Residences | Shopping Mall==Client==Confidential==Status==Constructed by Atkins==Year==2014,24,"
This project is done in collaboration with Atkins Design Shanghai, China. The site has two parcels. Parcel A comprises of a twin tower for Shinjing Bank, 320m and 280m in height. The other program spaces for Parcel A incudes two office towers ranging 120m in height , with a 6 storey high retail podium. Parcel B  contains a 180m high luxury residential tower  and a 140m service apartment tower. Fitting that many high-rise buildings in a relatively compact site was the real challange for this project. Our role for the project, specifically involved precise digital model development for both schematic design and design development stage with high quality 3D digital visualization. <br><br>

Image source, Atkins LLC, China.",,architecture,high-rise volumes
7,,,featured,Smart School in Korea,equinox-smart-school,,,"Category==School | Education | Smart learning==Client==Sejong National Model City Middle and High School, South Korea==Status==Design Entry==Year==2021",16,"Equinox is a novel learning platform that invites people in a new urban district to be part of an educational revolution. In this proposal we provide a design concept for the middle school, while a high school is provided as a concept schematic, that will follow similar design guidelines. Our design is principally based on three main concepts further described below: <br><br>

Spatial variety: Different people learn in different conditions. Conventional learning spaces are too rigid and fixed which misses the flexibility needed to allow for conducive conditions that can encourage students to learn new knowledge in their most comfortable space. In this design, we ensure that we provide a diverse array of spaces that can accommodate the varied needs of students. In addition, we provide flexible semi-open (with nature) spaces that encourage students to collaborate and invent to make new technology, new design or new art. Every space is both digitally and physically connected using means such as large displays, drones, touch screen surface displays etc.  <br><br>

Connectedness: The second concept of this design is inside out connectedness to the city and the neighboring urban fabric. We think education is not only for enrolled students but also for the larger community of which the school is a distinct participant. The design of the school invites people to participate in the learning process by creating public spaces such as public library, exhibition galleries, AR-VR Tech Media Tower that may exhibit students work. These spaces can provide specially designed classes to people in diverse topics such as AI, mobile technology, nanotechnology, calligraphy etc.  <br><br>
 
Eco-adaptable: While our design looks into the future with the state of the art technology, it embraces the historical learnings humans have learned. In that spirit, while the shape and form of the design is unconventional and futuristic, the building materials are eco friendly, sustainable and eco-adaptable. We use stone, wood, and eco-friendly glazings'. In addition, we minimize the glazed area to guard against direct glaring sunlight that minimizes the energy cost of the building.
",,architecture,smart spaces
8,,,featured,Pods Public Seating,pods-public-seating,Ranked 3rd prize in an international competition,Ranked 3rd prize in an international competition,"Category==Furniture | Public Art | Social Interaction==Client==A8 Design Center, China==Status==Design Entry==Year==2021",12,"Pod is a novel public seating arrangement in a post COVID-19 world. The design encourages safe and responsible social distancing but at the same time provides ample opportunity to close friends or families (living in the same house or apartment) to sit and stay closer in a public space. Each Pod is a semi covered seating of dimension 1400 mm by 1400 mm (height 1500 mm) allowing upto two adults to sit together in the same Pod. In addition, these units are movable, meaning users can rotate their orientation to face to or away from another Pod (person sitting next to them). These Pods are installed on a metal channel or track, on which these can be further pushed around to reposition their location. This is designed to allow people to keep separation with one another or stay close to their family members. The track ensures the public seating is not vandalized or stolen, or not misplaced, creating clutter in the city. <br><br>

Pods are built with sustainable galvanized steel as a single pivoting structural post. The covering of the Pod can either be built with wood or 3D printed ceramics with customized colors. These colored units can add diversity and positivity to any public space where they are placed. Besides, the surfacing is designed to be smooth and self-cleaning without any nooks and cranny, thus removing the need to frequently clean these units. <br><br>

Furthermore, these units can be solar powered and can be equipped with USB chargers with bluetooth connections to allow users to sit and work for longer durations. Each Pod unit comes with storage spaces that may allow parents (can store baby changing equipments) and workers (can store laptop bags) to sit comfortably with peace. ",https://youtu.be/9IIMTURKXKg,architecture,post pandemic life
9,,,,Penumbra Shading ,penumbra,,,"Category==Public artifact | Urban Shading==Client==Abu Dhabi, Department of Municipalities and Transport==Status==Design Entry==Year==2020",13,"An urban shading as a cooling solution to redesign an urban plaza in the hot and dry climate of Abu Dhabi. In this design challenge, our objective was to retrofit an existing plaza using urban artifacts that can provide solace to the occupants from the extreme heat. The semi shaded structure acts as a shading system in addition to providing an opportunity to plant green soft covers to absorb the excess heat of the surrounding. These structures are proposed to be built using wood, and to be painted white to help allow absorption of the sunlight. <br><br>
Underneath the structure we proposed to design grass mounds, which are walkable and provide ample space for seating. Inside the grass mounds, we proposed to situate a public reading library, interactive immersize spaces for art exhibitions with coffee shops.",https://youtu.be/C9YqUpZRfN8,urban-design,modular enclosures
10,no,,featured,Bridge of Entrepreneur,bridge-of-entreprenuer,Shortlisted as a finalist in the Urban Tech Block Design Competition,Finalist entry,Category==Structural | Bridge==Client==China Transportation and Municipality==Status==Shortlisted as  a Finalist==Year==2018,13,"A novel bridge concept to connect, inspire, and provide a public space to let people interact in the newly developed urban block in China. This pedestrian bridge not only connects various tech and start up offices in the neighborhood, but also provides a lingering space where people can socialize, communicate, and rest in the city.",,urban-design,connectivity and unity
